The cyclic subgroup of Z_24 generated by 18 has order,4,8,12,6,A
Which of the following terms describes the body's ability to maintain its normal state?,Anabolism,Catabolism,Tolerance,Homeostasis,D
You cool a blackbody to half its original temperature. How does its spectrum change?,Power emitted is 1/16 times as high; peak emission wavelength is 1/2 as long.,Power emitted is 1/4 times as high; peak emission wavelength is 2 times longer.,Power emitted is 1/4 times as high; peak emission wavelength is 1/2 as long.,Power emitted is 1/16 times as high; peak emission wavelength is 2 times longer.,D
Disqualification of directors may result from breaches under the,Sale of Goods Act 1979,Financial Services Act 1986,Companies Act 2006 and Insolvency Act 1986,Health and Safety at Work Act 1974,C
Type I muscle fibres have the following characteristics:,"white, glycolytic, slow contracting.","white, oxidative, slow contracting.","red, oxidative, fast contracting.","red, oxidative, slow contracting.",D
Which of the following is the most direct cause of polyteny in somatic cells of certain organisms?,RNA transcription,Supercoiling of chromatin,Chromosome replication without cell division,Chromosome recombination,C
Which of the following is true for Br2 at standard temperature and pressure?,It is a colorless gas.,It is a red-brown volatile liquid.,It is a colorless volatile liquid.,It is a yellow metallic solid.,B
Sometimes the object module produced by a compiler includes information (from the symbol table) mapping all source program names to their addresses. The most likely purpose of this information is,for use as input to a debugging aid,to increase the run-time efficiency of the program,for the reduction of the symbol-table space needed by the compiler,to tell the loader where each variable belongs,A
"If a polynomial f(x) over the real numbers has the complex numbers 2 + i and 1 - i as roots, then f(x) could be",x^3 + 5x^2 + 4x + 1,x^4 - 6x^3 + 15x^2 - 18x + 10,x^3 - x^2 + 4x + 1,x^4 + 7x^2 + 10,B
A student observes that mercury forms a convex meniscus in the graduated cylinder but that water forms a concave one. This behavior is best explained by the fact that:,the two liquids are being kept in graduated cylinders made of different materials.,the adhesive forces between water and the walls of the graduated cylinder are greater than the adhesive forces between the mercury and the walls of the graduated cylinder.,the cohesive forces between two mercury atoms are stronger than the cohesive forces between two water molecules.,"the mercury has strong cohesive than adhesive forces, whereas water has strong adhesive than cohesive ones.",D
"Characteristic X rays, appearing as sharp lines on a continuous background, are produced when high-energy electrons bombard a metal target. Which of the following processes results in the characteristic X rays?",Electrons producing Čerenkov radiation,Electrons colliding with phonons in the metal,Electrons filling inner shell vacancies that are created in the metal atoms,Electrons combining with protons to form neutrons,C
What is penetration testing?,A procedure for testing libraries or other program components for vulnerabilities,Whole-system testing for security flaws and bugs,A security-minded form of unit testing that applies early in the development process,All of the above,B
A real image can be cast on a screen by a,converging lens,diverging lens,Either of these,Neither of these,A
