constraint,accuracy,recall,precision,f1,classification threshold,fpr,data percentage
16,0.63125,1.0,0.5755395683453237,0.730593607305936,0.0004081726074218752,0.7375,0.95
32,0.63125,1.0,0.5755395683453237,0.730593607305936,0.0004081726074218752,0.7375,0.95
64,0.63125,1.0,0.5755395683453237,0.730593607305936,0.0004081726074218752,0.7375,0.95
inf,0.39375,0.525,0.4158415841584158,0.46408839779005523,0.0004081726074218752,0.7375,0.95
inf2,0.63125,1.0,0.5755395683453237,0.730593607305936,0.0004081726074218752,0.7375,0.95
16,0.790625,0.99375,0.7066666666666667,0.825974025974026,-0.00025711059570312497,0.4125,0.975
32,0.79375,1.0,0.7079646017699115,0.8290155440414507,-0.00025711059570312497,0.4125,0.975
64,0.79375,1.0,0.7079646017699115,0.8290155440414507,-0.00025711059570312497,0.4125,0.975
inf,0.421875,0.25625,0.38317757009345793,0.3071161048689138,-0.00025711059570312497,0.4125,0.975
inf2,0.784375,0.98125,0.7040358744394619,0.8198433420365535,-0.00025711059570312497,0.4125,0.975
16,0.803125,0.99375,0.7194570135746606,0.8346456692913385,-0.0003988647460937498,0.3875,0.99
32,0.80625,1.0,0.7207207207207207,0.837696335078534,-0.0003988647460937498,0.3875,0.99
64,0.80625,1.0,0.7207207207207207,0.837696335078534,-0.0003988647460937498,0.3875,0.99
inf,0.43125,0.25,0.39215686274509803,0.3053435114503817,-0.0003988647460937498,0.3875,0.99
inf2,0.784375,0.95625,0.7116279069767442,0.8160000000000001,-0.0003988647460937498,0.3875,0.99
16,0.8125,0.9875,0.7314814814814815,0.8404255319148937,-0.0005046081542968749,0.3625,0.995
32,0.81875,1.0,0.7339449541284404,0.8465608465608466,-0.0005046081542968749,0.3625,0.995
64,0.81875,1.0,0.7339449541284404,0.8465608465608466,-0.0005046081542968749,0.3625,0.995
inf,0.421875,0.20625,0.3626373626373626,0.26294820717131473,-0.0005046081542968749,0.3625,0.995
inf2,0.796875,0.95625,0.7251184834123223,0.8247978436657682,-0.0005046081542968749,0.3625,0.995
16,0.84375,0.98125,0.7696078431372549,0.8626373626373626,-0.0006103515625,0.29375,1.0
32,0.853125,1.0,0.7729468599033816,0.8719346049046321,-0.0006103515625,0.29375,1.0
64,0.853125,1.0,0.7729468599033816,0.8719346049046321,-0.0006103515625,0.29375,1.0
inf,0.43125,0.15625,0.3472222222222222,0.21551724137931036,-0.0006103515625,0.29375,1.0
inf2,0.828125,0.95,0.7638190954773869,0.8467966573816156,-0.0006103515625,0.29375,1.0
