constraint,accuracy,recall,precision,f1,classification threshold,data percentage
16,0.6875,1.0,0.6153846153846154,0.761904761904762,0.0004081726074218752,0.95
32,0.6875,1.0,0.6153846153846154,0.761904761904762,0.0004081726074218752,0.95
64,0.6875,1.0,0.6153846153846154,0.761904761904762,0.0004081726074218752,0.95
inf,0.6875,1.0,0.6153846153846154,0.761904761904762,0.0004081726074218752,0.95
inf2,0.6875,1.0,0.6153846153846154,0.761904761904762,0.0004081726074218752,0.95
16,0.8,1.0,0.7142857142857143,0.8333333333333333,-0.00025711059570312497,0.975
32,0.8,1.0,0.7142857142857143,0.8333333333333333,-0.00025711059570312497,0.975
64,0.8,1.0,0.7142857142857143,0.8333333333333333,-0.00025711059570312497,0.975
inf,0.8,1.0,0.7142857142857143,0.8333333333333333,-0.00025711059570312497,0.975
inf2,0.8,1.0,0.7142857142857143,0.8333333333333333,-0.00025711059570312497,0.975
16,0.825,1.0,0.7407407407407407,0.851063829787234,-0.0003988647460937498,0.99
32,0.825,1.0,0.7407407407407407,0.851063829787234,-0.0003988647460937498,0.99
64,0.825,1.0,0.7407407407407407,0.851063829787234,-0.0003988647460937498,0.99
inf,0.825,1.0,0.7407407407407407,0.851063829787234,-0.0003988647460937498,0.99
inf2,0.825,1.0,0.7407407407407407,0.851063829787234,-0.0003988647460937498,0.99
16,0.85,1.0,0.7692307692307693,0.8695652173913044,-0.0005046081542968749,0.995
32,0.85,1.0,0.7692307692307693,0.8695652173913044,-0.0005046081542968749,0.995
64,0.85,1.0,0.7692307692307693,0.8695652173913044,-0.0005046081542968749,0.995
inf,0.85,1.0,0.7692307692307693,0.8695652173913044,-0.0005046081542968749,0.995
inf2,0.85,1.0,0.7692307692307693,0.8695652173913044,-0.0005046081542968749,0.995
