# prompt_constrained_16_denoised_000times,prompt_constrained_16_denoised_050times,prompt_constrained_16_denoised_100times,prompt_constrained_16_denoised_150times,prompt_constrained_16_denoised_200times,prompt_constrained_16_denoised_250times,prompt_constrained_16_denoised_300times,prompt_constrained_16_denoised_350times,prompt_constrained_32_denoised_000times,prompt_constrained_32_denoised_050times,prompt_constrained_32_denoised_100times,prompt_constrained_32_denoised_150times,prompt_constrained_32_denoised_200times,prompt_constrained_32_denoised_250times,prompt_constrained_32_denoised_300times,prompt_constrained_32_denoised_350times,prompt_constrained_64_denoised_000times,prompt_constrained_64_denoised_050times,prompt_constrained_64_denoised_100times,prompt_constrained_64_denoised_150times,prompt_constrained_64_denoised_200times,prompt_constrained_64_denoised_250times,prompt_constrained_64_denoised_300times,prompt_constrained_64_denoised_350times,prompt_unconstrained_denoised_000times,prompt_unconstrained_denoised_050times,prompt_unconstrained_denoised_100times,prompt_unconstrained_denoised_150times,prompt_unconstrained_denoised_200times,prompt_unconstrained_denoised_250times,prompt_unconstrained_denoised_300times,prompt_unconstrained_denoised_350times,is_malicious
6.311035156250000000e-02,6.567382812500000000e-02,6.015014648437500000e-02,5.789184570312500000e-02,5.685424804687500000e-02,5.987548828125000000e-02,5.670166015625000000e-02,5.862426757812500000e-02,6.744384765625000000e-02,6.646728515625000000e-02,6.579589843750000000e-02,6.408691406250000000e-02,6.018066406250000000e-02,5.770874023437500000e-02,5.975341796875000000e-02,5.926513671875000000e-02,6.701660156250000000e-02,6.549072265625000000e-02,6.610107421875000000e-02,6.555175781250000000e-02,6.909179687500000000e-02,6.683349609375000000e-02,6.158447265625000000e-02,6.021118164062500000e-02,6.152343750000000000e-02,6.268310546875000000e-02,6.304931640625000000e-02,6.280517578125000000e-02,6.774902343750000000e-02,6.317138671875000000e-02,6.060791015625000000e-02,6.396484375000000000e-02,1.000000000000000000e+00
5.413818359375000000e-02,5.371093750000000000e-02,4.870605468750000000e-02,4.718017578125000000e-02,4.663085937500000000e-02,4.849243164062500000e-02,4.574584960937500000e-02,4.797363281250000000e-02,5.929565429687500000e-02,5.688476562500000000e-02,5.438232421875000000e-02,5.072021484375000000e-02,4.812622070312500000e-02,4.690551757812500000e-02,4.800415039062500000e-02,4.751586914062500000e-02,5.645751953125000000e-02,5.529785156250000000e-02,5.615234375000000000e-02,5.456542968750000000e-02,5.496215820312500000e-02,5.453491210937500000e-02,5.187988281250000000e-02,4.922485351562500000e-02,5.722045898437500000e-02,5.776977539062500000e-02,5.831909179687500000e-02,5.770874023437500000e-02,6.054687500000000000e-02,5.746459960937500000e-02,5.676269531250000000e-02,5.993652343750000000e-02,1.000000000000000000e+00
6.323242187500000000e-02,6.634521484375000000e-02,6.500244140625000000e-02,6.134033203125000000e-02,6.069946289062500000e-02,6.137084960937500000e-02,5.929565429687500000e-02,6.216430664062500000e-02,6.811523437500000000e-02,6.738281250000000000e-02,6.597900390625000000e-02,6.524658203125000000e-02,6.298828125000000000e-02,6.298828125000000000e-02,6.378173828125000000e-02,6.335449218750000000e-02,6.738281250000000000e-02,6.726074218750000000e-02,6.634521484375000000e-02,6.768798828125000000e-02,7.183837890625000000e-02,6.921386718750000000e-02,6.671142578125000000e-02,6.372070312500000000e-02,5.718994140625000000e-02,5.819702148437500000e-02,5.847167968750000000e-02,5.905151367187500000e-02,6.378173828125000000e-02,5.874633789062500000e-02,5.654907226562500000e-02,5.688476562500000000e-02,1.000000000000000000e+00
3.433227539062500000e-02,3.707885742187500000e-02,3.286743164062500000e-02,2.835083007812500000e-02,2.804565429687500000e-02,3.038024902343750000e-02,2.674865722656250000e-02,2.911376953125000000e-02,3.887939453125000000e-02,3.912353515625000000e-02,3.585815429687500000e-02,3.390502929687500000e-02,2.897644042968750000e-02,3.059387207031250000e-02,3.053283691406250000e-02,3.158569335937500000e-02,3.814697265625000000e-02,3.686523437500000000e-02,3.741455078125000000e-02,3.692626953125000000e-02,4.067993164062500000e-02,3.674316406250000000e-02,3.317260742187500000e-02,3.102111816406250000e-02,2.980041503906250000e-02,3.099060058593750000e-02,3.076171875000000000e-02,3.034973144531250000e-02,3.536987304687500000e-02,3.161621093750000000e-02,3.007507324218750000e-02,3.237915039062500000e-02,1.000000000000000000e+00
6.915283203125000000e-02,7.244873046875000000e-02,6.872558593750000000e-02,6.396484375000000000e-02,6.378173828125000000e-02,6.646728515625000000e-02,6.311035156250000000e-02,6.640625000000000000e-02,7.318115234375000000e-02,7.397460937500000000e-02,7.165527343750000000e-02,7.012939453125000000e-02,6.591796875000000000e-02,6.658935546875000000e-02,6.726074218750000000e-02,6.848144531250000000e-02,7.379150390625000000e-02,7.299804687500000000e-02,7.275390625000000000e-02,7.391357421875000000e-02,7.794189453125000000e-02,7.537841796875000000e-02,7.135009765625000000e-02,6.774902343750000000e-02,6.604003906250000000e-02,6.762695312500000000e-02,6.787109375000000000e-02,6.762695312500000000e-02,7.348632812500000000e-02,6.848144531250000000e-02,6.597900390625000000e-02,6.817626953125000000e-02,1.000000000000000000e+00
6.469726562500000000e-02,6.848144531250000000e-02,6.542968750000000000e-02,6.176757812500000000e-02,6.112670898437500000e-02,6.246948242187500000e-02,6.082153320312500000e-02,6.237792968750000000e-02,6.707763671875000000e-02,6.774902343750000000e-02,6.579589843750000000e-02,6.658935546875000000e-02,6.402587890625000000e-02,6.402587890625000000e-02,6.481933593750000000e-02,6.445312500000000000e-02,6.719970703125000000e-02,6.597900390625000000e-02,6.677246093750000000e-02,6.707763671875000000e-02,7.196044921875000000e-02,6.872558593750000000e-02,6.787109375000000000e-02,6.481933593750000000e-02,5.932617187500000000e-02,6.048583984375000000e-02,6.008911132812500000e-02,6.005859375000000000e-02,6.494140625000000000e-02,6.018066406250000000e-02,5.865478515625000000e-02,5.966186523437500000e-02,1.000000000000000000e+00
7.043457031250000000e-02,6.988525390625000000e-02,6.665039062500000000e-02,6.384277343750000000e-02,6.372070312500000000e-02,6.591796875000000000e-02,6.335449218750000000e-02,6.518554687500000000e-02,7.446289062500000000e-02,7.293701171875000000e-02,7.006835937500000000e-02,6.878662109375000000e-02,6.640625000000000000e-02,6.414794921875000000e-02,6.628417968750000000e-02,6.774902343750000000e-02,7.232666015625000000e-02,7.098388671875000000e-02,7.122802734375000000e-02,7.104492187500000000e-02,7.440185546875000000e-02,7.244873046875000000e-02,7.006835937500000000e-02,6.634521484375000000e-02,6.689453125000000000e-02,6.701660156250000000e-02,6.744384765625000000e-02,6.701660156250000000e-02,6.964111328125000000e-02,6.671142578125000000e-02,6.506347656250000000e-02,6.689453125000000000e-02,1.000000000000000000e+00
3.567504882812500000e-02,3.530883789062500000e-02,3.448486328125000000e-02,3.167724609375000000e-02,3.228759765625000000e-02,3.176879882812500000e-02,3.207397460937500000e-02,3.167724609375000000e-02,3.939819335937500000e-02,3.753662109375000000e-02,3.530883789062500000e-02,3.393554687500000000e-02,3.237915039062500000e-02,3.283691406250000000e-02,3.292846679687500000e-02,3.292846679687500000e-02,3.829956054687500000e-02,3.778076171875000000e-02,3.808593750000000000e-02,3.631591796875000000e-02,3.872680664062500000e-02,3.692626953125000000e-02,3.335571289062500000e-02,3.411865234375000000e-02,3.234863281250000000e-02,3.305053710937500000e-02,3.366088867187500000e-02,3.302001953125000000e-02,3.750610351562500000e-02,3.421020507812500000e-02,3.176879882812500000e-02,3.424072265625000000e-02,1.000000000000000000e+00
6.665039062500000000e-02,6.860351562500000000e-02,6.732177734375000000e-02,6.210327148437500000e-02,6.207275390625000000e-02,6.555175781250000000e-02,6.292724609375000000e-02,6.512451171875000000e-02,6.976318359375000000e-02,7.086181640625000000e-02,6.964111328125000000e-02,6.652832031250000000e-02,6.323242187500000000e-02,6.488037109375000000e-02,6.616210937500000000e-02,6.817626953125000000e-02,7.208251953125000000e-02,7.250976562500000000e-02,7.086181640625000000e-02,7.122802734375000000e-02,7.269287109375000000e-02,7.000732421875000000e-02,6.781005859375000000e-02,6.738281250000000000e-02,7.415771484375000000e-02,7.501220703125000000e-02,7.592773437500000000e-02,7.434082031250000000e-02,7.849121093750000000e-02,7.501220703125000000e-02,7.147216796875000000e-02,7.507324218750000000e-02,1.000000000000000000e+00
5.584716796875000000e-02,5.847167968750000000e-02,5.505371093750000000e-02,5.160522460937500000e-02,5.120849609375000000e-02,5.288696289062500000e-02,5.096435546875000000e-02,5.270385742187500000e-02,6.048583984375000000e-02,5.990600585937500000e-02,5.831909179687500000e-02,5.624389648437500000e-02,5.358886718750000000e-02,5.273437500000000000e-02,5.441284179687500000e-02,5.450439453125000000e-02,5.899047851562500000e-02,5.813598632812500000e-02,5.917358398437500000e-02,5.935668945312500000e-02,6.030273437500000000e-02,5.871582031250000000e-02,5.657958984375000000e-02,5.526733398437500000e-02,5.648803710937500000e-02,5.685424804687500000e-02,5.780029296875000000e-02,5.734252929687500000e-02,5.929565429687500000e-02,5.664062500000000000e-02,5.404663085937500000e-02,5.432128906250000000e-02,1.000000000000000000e+00
