data percentage,constraint,accuracy,recall,precision,f1,classification threshold
0.95,16,0.7,1.0,0.625,0.7692307692307693,-0.0009796142578124994
0.95,32,0.5375,1.0,0.5194805194805194,0.6837606837606837,-0.0009796142578124994
0.95,64,0.6625,1.0,0.5970149253731343,0.7476635514018691,-0.0009796142578124994
0.95,unconstrainted,0.5125,0.075,0.6,0.13333333333333333,-0.0009796142578124994
0.95,clean test,0.5,0.125,0.5,0.2,-0.0009796142578124994
0.975,16,0.7875,1.0,0.7017543859649122,0.8247422680412371,-0.001670455932617186
0.975,32,0.55,1.0,0.5263157894736842,0.6896551724137931,-0.001670455932617186
0.975,64,0.7125,1.0,0.6349206349206349,0.7766990291262136,-0.001670455932617186
0.975,unconstrainted,0.5125,0.05,0.6666666666666666,0.09302325581395349,-0.001670455932617186
0.975,clean test,0.5,0.025,0.5,0.047619047619047616,-0.001670455932617186
0.99,16,0.875,0.95,0.8260869565217391,0.8837209302325583,-0.0024124145507812495
0.99,32,0.625,1.0,0.5714285714285714,0.7272727272727273,-0.0024124145507812495
0.99,64,0.775,1.0,0.6896551724137931,0.8163265306122449,-0.0024124145507812495
0.99,unconstrainted,0.5,0.0,,,-0.0024124145507812495
0.99,clean test,0.5,0.0,,,-0.0024124145507812495
0.995,16,0.875,0.9,0.8571428571428571,0.8780487804878048,-0.002588348388671875
0.995,32,0.6375,1.0,0.5797101449275363,0.7339449541284404,-0.002588348388671875
0.995,64,0.775,1.0,0.6896551724137931,0.8163265306122449,-0.002588348388671875
0.995,unconstrainted,0.5,0.0,,,-0.002588348388671875
0.995,clean test,0.5,0.0,,,-0.002588348388671875
